engine;min_replicas;site;x;y;z;n_members;n_replicas;mean_occupancy;max_occupancy;spread_A;nearest_crystal_A
LOCH;4;CS006;13.609;27.105;4.381;7;4;0.2657;0.5400;1.165;3.517
LOCH;4;CS007;22.218;24.996;7.781;6;4;0.2483;0.3400;0.958;2.147
LOCH;4;CS008;20.490;21.579;14.197;5;4;0.2380;0.3700;0.808;3.982
LOCH;4;CS009;19.434;21.035;11.491;8;4;0.2375;0.3700;0.801;1.856
LOCH;4;CS010;14.727;23.068;12.129;5;4;0.2100;0.3100;0.860;2.768
LOCH;4;CS011;21.675;20.947;11.458;4;4;0.2025;0.3300;0.523;1.720
LOCH;4;CS012;13.688;28.313;6.890;8;4;0.1988;0.2400;1.087;4.086
LOCH;4;CS013;14.916;27.052;7.498;5;4;0.1900;0.3000;0.930;2.726
LOCH;4;CS014;13.939;28.203;9.211;7;4;0.1886;0.2700;1.154;4.861
LOCH;4;CS015;15.221;26.895;8.903;5;4;0.1800;0.2400;0.752;3.398
LOCH;4;CS016;15.944;26.161;9.866;8;4;0.1775;0.2800;0.892;2.037
LOCH;4;CS017;12.203;27.102;1.898;6;4;0.1750;0.3000;1.072;5.914
LOCH;4;CS018;18.738;23.353;12.086;9;4;0.1733;0.2100;0.989;1.157
LOCH;4;CS019;18.791;23.593;14.716;9;4;0.1667;0.3100;1.129;3.453
LOCH;4;CS020;18.071;26.100;10.152;5;4;0.1660;0.1900;1.118;2.083
LOCH;4;CS021;20.880;26.628;6.051;6;4;0.1650;0.2100;0.941;3.522
LOCH;4;CS022;18.394;27.192;10.616;4;4;0.1625;0.1900;0.821;2.606
LOCH;4;CS023;20.283;24.950;12.929;6;4;0.1617;0.2200;0.954;3.494
